author id,date,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,target
1484685836776255494,2022-01-27,2022-01-27T07:27:53.000Z,,1486601839994818560,in,0,0,0,0,Twitter Web App,"#AyoTolakUUIKN 

Proyek IKN membuka peluang besar para oligarki untuk bermain curang, securang²nya. Tolak UU IKN",0
1464431753259626498,2022-01-27,2022-01-27T07:27:54.000Z,,1486601844667289604,in,0,0,0,0,Twitter for Android,Tolak UU IKN karena berpotensi merusak lingkungan dan tidak ada manfaat bagi masyarakat. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,0
885283526458826752,2022-01-27,2022-01-27T07:28:03.000Z,,1486601885658222592,in,0,0,0,0,Twitter Web App,UU IKN hanya akan merugikan rakyat dengan hutang riba negara yang kian menumpuk. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,0
1384006726152720393,2022-01-27,2022-01-27T07:28:04.000Z,,1486601890028613635,in,1,0,0,0,Twitter Web App,Jika UU ini diterapkan yang terjadi adalah masyarakat akan semakin merasakan kerugian dan kesengsaraan. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,0
1450712427356569600,2022-01-27,2022-01-27T07:28:05.000Z,,1486601891840618503,in,0,0,0,0,Twitter for Android,UU IKN Syarat kepentingan oligarki. Tolak n batalkan saja &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim #fxnw,0
1408174499892056067,2022-01-27,2022-01-27T07:28:15.000Z,,1486601932764446720,in,3,0,0,1,Twitter Web App,Menyelesaikan masalah negri ini dgn syariah bukan dgn memindahkan ibu kota &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,0
1464431753259626498,2022-01-27,2022-01-27T07:28:19.000Z,,1486601949558362112,in,0,0,0,0,Twitter for Android,Kerusakan ekosistem di pulau Jawa hanya bisa diselesaikan dengan kebijakan yang adil bukan pemindahan ibu kota. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,0
885283526458826752,2022-01-27,2022-01-27T07:28:19.000Z,,1486601951475240960,in,0,0,0,1,Twitter Web App,IKN Proyek Ngawur Poool &gt;&gt; #UUIKNMendzalimiRakyat &gt;&gt; #StopKebijakanDzalim,0
1107108245376647168,2022-01-27,2022-01-27T07:28:23.000Z,,1486601966822182912,in,0,0,0,0,Twitter Web App,Proyek IKN wujud nyata cengkeraman pemilik modal atas penguasa. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,0
1416218273041960963,2022-01-27,2022-01-27T07:28:30.000Z,,1486601999177027585,in,0,0,0,0,Twitter for Android,"UU IKN disinyalir sebagai wujud pemutihan dosa-dosa korporasi di Kalimantan Timur.

#UUIKNMendzalimiRakyat
IKN Proyek Oligarki",0
885283526458826752,2022-01-27,2022-01-27T07:28:37.000Z,,1486602027136274432,in,0,0,0,0,Twitter Web App,"Dari berbagai kesulitan menimpa umat di negeri ini. Bisa-bisanya melakukan pemborosan lewan Proyek IKN

#UUIKNMendzalimiRakyat
IKN Proyek Oligarki",0
